pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
Post NMDA receptor activation events	R-HSA-438064	 Reactome	 hsapiens	74	921	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-438064	63.0
Regulation of PTEN stability and activity	R-HSA-8948751	 Reactome	 hsapiens	74	1326	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8948751	69.0
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	R-HSA-179419	 Reactome	 hsapiens	74	2874	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-179419	74.0
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	R-HSA-174178	 Reactome	 hsapiens	74	4046	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174178	74.0
Regulated Necrosis	R-HSA-5218859	 Reactome	 hsapiens	73	300	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5218859	57.0
Porphyrin metabolism	R-HSA-189445	 Reactome	 hsapiens	73	309	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-189445	24.0
Chondroitin sulfate/dermatan sulfate metabolism	R-HSA-1793185	 Reactome	 hsapiens	73	534	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1793185	50.0
Xenobiotics	R-HSA-211981	 Reactome	 hsapiens	73	1076	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211981	22.0
O-linked glycosylation of mucins	R-HSA-913709	 Reactome	 hsapiens	73	1090	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-913709	63.0
Orc1 removal from chromatin	R-HSA-68949	 Reactome	 hsapiens	73	1438	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68949	71.0
Sensory processing of sound by inner hair cells of the cochlea	R-HSA-9662360	 Reactome	 hsapiens	73	1745	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662360	67.0
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	R-HSA-174184	 Reactome	 hsapiens	73	2820	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174184	73.0
Glyoxylate metabolism and glycine degradation	R-HSA-389661	 Reactome	 hsapiens	72	274	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389661	29.0
G-protein mediated events	R-HSA-112040	 Reactome	 hsapiens	72	649	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112040	56.0
Signaling by FGFR in disease	R-HSA-1226099	 Reactome	 hsapiens	72	1131	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1226099	64.0
Activation of NF-kappaB in B cells	R-HSA-1169091	 Reactome	 hsapiens	72	1470	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1169091	67.0
Hedgehog ligand biogenesis	R-HSA-5358346	 Reactome	 hsapiens	72	1563	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5358346	65.0
HDR through Homologous Recombination (HRR)	R-HSA-5685942	 Reactome	 hsapiens	72	1953	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5685942	67.0
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	R-HSA-1234176	 Reactome	 hsapiens	72	2370	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1234176	66.0
Cholesterol biosynthesis	R-HSA-191273	 Reactome	 hsapiens	71	362	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-191273	24.0
Cytosolic sulfonation of small molecules	R-HSA-156584	 Reactome	 hsapiens	71	373	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156584	23.0
Signaling by Retinoic Acid	R-HSA-5362517	 Reactome	 hsapiens	71	531	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5362517	40.0
Ion transport by P-type ATPases	R-HSA-936837	 Reactome	 hsapiens	71	699	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-936837	31.0
Loss of Nlp from mitotic centrosomes	R-HSA-380259	 Reactome	 hsapiens	71	2555	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380259	70.0
Semaphorin interactions	R-HSA-373755	 Reactome	 hsapiens	70	706	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373755	65.0
Metabolism of steroid hormones	R-HSA-196071	 Reactome	 hsapiens	70	794	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-196071	31.0
Regulation of RAS by GAPs	R-HSA-5658442	 Reactome	 hsapiens	70	1385	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5658442	68.0
G1/S DNA Damage Checkpoints	R-HSA-69615	 Reactome	 hsapiens	70	1388	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69615	68.0
DNA Double Strand Break Response	R-HSA-5693606	 Reactome	 hsapiens	70	1879	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693606	78.0
Signaling by BRAF and RAF fusions	R-HSA-6802952	 Reactome	 hsapiens	70	2154	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802952	65.0
MAP kinase activation	R-HSA-450294	 Reactome	 hsapiens	69	484	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-450294	64.0
Mitochondrial protein import	R-HSA-1268020	 Reactome	 hsapiens	69	680	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1268020	65.0
Synthesis of PIPs at the plasma membrane	R-HSA-1660499	 Reactome	 hsapiens	69	857	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660499	50.0
Transcriptional activation of mitochondrial biogenesis	R-HSA-2151201	 Reactome	 hsapiens	68	291	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2151201	56.0
Nucleotide salvage	R-HSA-8956321	 Reactome	 hsapiens	68	332	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8956321	18.0
Amyloid fiber formation	R-HSA-977225	 Reactome	 hsapiens	68	453	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977225	90.0
tRNA Aminoacylation	R-HSA-379724	 Reactome	 hsapiens	68	459	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-379724	42.0
Regulation of PTEN gene transcription	R-HSA-8943724	 Reactome	 hsapiens	68	462	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8943724	55.0
Extension of Telomeres	R-HSA-180786	 Reactome	 hsapiens	68	1266	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-180786	51.0
p53-Dependent G1/S DNA damage checkpoint	R-HSA-69580	 Reactome	 hsapiens	68	1329	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69580	66.0
Assembly of the pre-replicative complex	R-HSA-68867	 Reactome	 hsapiens	68	1332	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68867	68.0
Regulation of HMOX1 expression and activity	R-HSA-9707587	 Reactome	 hsapiens	68	1366	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9707587	65.0
rRNA modification in the nucleus and cytosol	R-HSA-6790901	 Reactome	 hsapiens	68	1480	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6790901	57.0
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	R-HSA-8936459	 Reactome	 hsapiens	68	2116	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8936459	97.0
APC/C:Cdc20 mediated degradation of Securin	R-HSA-174154	 Reactome	 hsapiens	68	2456	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174154	68.0
Glutathione conjugation	R-HSA-156590	 Reactome	 hsapiens	67	350	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156590	34.0
PLC beta mediated events	R-HSA-112043	 Reactome	 hsapiens	67	426	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112043	51.0
Signaling by ERBB4	R-HSA-1236394	 Reactome	 hsapiens	67	437	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236394	58.0
Selective autophagy	R-HSA-9663891	 Reactome	 hsapiens	67	469	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9663891	63.0
Amino acid transport across the plasma membrane	R-HSA-352230	 Reactome	 hsapiens	67	719	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-352230	30.0
GABA receptor activation	R-HSA-977443	 Reactome	 hsapiens	67	782	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977443	57.0
TP53 Regulates Transcription of DNA Repair Genes	R-HSA-6796648	 Reactome	 hsapiens	67	1666	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6796648	63.0
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	R-HSA-5693565	 Reactome	 hsapiens	67	1853	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693565	77.0
RNA Polymerase II Transcription Termination	R-HSA-73856	 Reactome	 hsapiens	67	1918	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73856	67.0
Triglyceride metabolism	R-HSA-8979227	 Reactome	 hsapiens	66	247	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8979227	28.0
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	R-HSA-168643	 Reactome	 hsapiens	66	274	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-168643	52.0
Metabolism of cofactors	R-HSA-8978934	 Reactome	 hsapiens	66	307	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8978934	21.0
Gluconeogenesis	R-HSA-70263	 Reactome	 hsapiens	66	341	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70263	34.0
Peroxisomal protein import	R-HSA-9033241	 Reactome	 hsapiens	66	581	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9033241	63.0
Pre-NOTCH Transcription and Translation	R-HSA-1912408	 Reactome	 hsapiens	66	1008	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1912408	93.0
Asymmetric localization of PCP proteins	R-HSA-4608870	 Reactome	 hsapiens	66	1127	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4608870	64.0
Defective CFTR causes cystic fibrosis	R-HSA-5678895	 Reactome	 hsapiens	66	1502	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5678895	61.0
RNA Polymerase II Transcription Elongation	R-HSA-75955	 Reactome	 hsapiens	66	2154	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75955	59.0
Gap-filling DNA repair synthesis and ligation in TC-NER	R-HSA-6782210	 Reactome	 hsapiens	66	2234	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6782210	65.0
Nuclear Events (kinase and transcription factor activation)	R-HSA-198725	 Reactome	 hsapiens	65	230	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-198725	61.0
Regulation of cholesterol biosynthesis by SREBP (SREBF)	R-HSA-1655829	 Reactome	 hsapiens	65	380	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1655829	55.0
Synthesis of PA	R-HSA-1483166	 Reactome	 hsapiens	65	417	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483166	27.0
Deadenylation-dependent mRNA decay	R-HSA-429914	 Reactome	 hsapiens	65	623	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-429914	55.0
Insulin receptor signalling cascade	R-HSA-74751	 Reactome	 hsapiens	65	631	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-74751	54.0
DNA Damage/Telomere Stress Induced Senescence	R-HSA-2559586	 Reactome	 hsapiens	65	704	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2559586	80.0
Heme signaling	R-HSA-9707616	 Reactome	 hsapiens	64	315	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9707616	43.0
Signaling by PTK6	R-HSA-8848021	 Reactome	 hsapiens	64	386	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8848021	54.0
Signaling by Non-Receptor Tyrosine Kinases	R-HSA-9006927	 Reactome	 hsapiens	64	386	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9006927	54.0
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	R-HSA-2404192	 Reactome	 hsapiens	64	600	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2404192	54.0
tRNA processing in the nucleus	R-HSA-6784531	 Reactome	 hsapiens	64	768	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6784531	55.0
Formation of the beta-catenin:TCF transactivating complex	R-HSA-201722	 Reactome	 hsapiens	64	1088	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-201722	91.0
Hh mutants abrogate ligand secretion	R-HSA-5387390	 Reactome	 hsapiens	64	1365	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5387390	59.0
Autodegradation of Cdh1 by Cdh1:APC/C	R-HSA-174084	 Reactome	 hsapiens	64	2103	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174084	64.0
RHOQ GTPase cycle	R-HSA-9013406	 Reactome	 hsapiens	63	179	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013406	59.0
Transcriptional Regulation by MECP2	R-HSA-8986944	 Reactome	 hsapiens	63	206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8986944	62.0
NRAGE signals death through JNK	R-HSA-193648	 Reactome	 hsapiens	63	295	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-193648	59.0
Signaling by PDGF	R-HSA-186797	 Reactome	 hsapiens	63	304	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-186797	53.0
NCAM signaling for neurite out-growth	R-HSA-375165	 Reactome	 hsapiens	63	350	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-375165	58.0
Detoxification of Reactive Oxygen Species	R-HSA-3299685	 Reactome	 hsapiens	63	429	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3299685	35.0
Signaling by ERBB2	R-HSA-1227986	 Reactome	 hsapiens	63	768	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1227986	50.0
Formation of RNA Pol II elongation complex	R-HSA-112382	 Reactome	 hsapiens	63	1932	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112382	59.0
HDACs deacetylate histones	R-HSA-3214815	 Reactome	 hsapiens	63	2146	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214815	94.0
Nucleobase biosynthesis	R-HSA-8956320	 Reactome	 hsapiens	62	378	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8956320	15.0
Ion homeostasis	R-HSA-5578775	 Reactome	 hsapiens	62	1047	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5578775	54.0
Degradation of GLI2 by the proteasome	R-HSA-5610783	 Reactome	 hsapiens	62	1190	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5610783	60.0
GLI3 is processed to GLI3R by the proteasome	R-HSA-5610785	 Reactome	 hsapiens	62	1234	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5610785	60.0
The role of GTSE1 in G2/M progression after G2 checkpoint	R-HSA-8852276	 Reactome	 hsapiens	62	1306	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8852276	60.0
Degradation of GLI1 by the proteasome	R-HSA-5610780	 Reactome	 hsapiens	62	1333	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5610780	60.0
Meiotic synapsis	R-HSA-1221632	 Reactome	 hsapiens	62	1378	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1221632	79.0
Dectin-1 mediated noncanonical NF-kB signaling	R-HSA-5607761	 Reactome	 hsapiens	62	1402	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5607761	60.0
B-WICH complex positively regulates rRNA expression	R-HSA-5250924	 Reactome	 hsapiens	62	1649	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5250924	91.0
SCF(Skp2)-mediated degradation of p27/p21	R-HSA-187577	 Reactome	 hsapiens	62	1715	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-187577	60.0
Signaling by NOTCH1 PEST Domain Mutants in Cancer	R-HSA-2644602	 Reactome	 hsapiens	61	405	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644602	58.0
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	R-HSA-2894858	 Reactome	 hsapiens	61	432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2894858	58.0
Signaling by NOTCH1 in Cancer	R-HSA-2644603	 Reactome	 hsapiens	61	456	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2644603	58.0
Hh mutants are degraded by ERAD	R-HSA-5362768	 Reactome	 hsapiens	61	1364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5362768	56.0
NIK-->noncanonical NF-kB signaling	R-HSA-5676590	 Reactome	 hsapiens	61	1401	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5676590	59.0
Sensory processing of sound by outer hair cells of the cochlea	R-HSA-9662361	 Reactome	 hsapiens	61	1579	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662361	52.0
Amino acids regulate mTORC1	R-HSA-9639288	 Reactome	 hsapiens	61	2205	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9639288	55.0
Intrinsic Pathway for Apoptosis	R-HSA-109606	 Reactome	 hsapiens	60	214	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109606	55.0
Sialic acid metabolism	R-HSA-4085001	 Reactome	 hsapiens	60	317	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4085001	33.0
Transcriptional regulation of granulopoiesis	R-HSA-9616222	 Reactome	 hsapiens	60	557	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9616222	90.0
Nuclear Envelope Breakdown	R-HSA-2980766	 Reactome	 hsapiens	60	856	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2980766	52.0
ROS sensing by NFE2L2	R-HSA-8932339	 Reactome	 hsapiens	60	1295	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8932339	57.0
Assembly of collagen fibrils and other multimeric structures	R-HSA-2022090	 Reactome	 hsapiens	59	133	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2022090	53.0
RHOJ GTPase cycle	R-HSA-9013409	 Reactome	 hsapiens	59	169	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013409	55.0
Nicotinamide salvaging	R-HSA-197264	 Reactome	 hsapiens	59	198	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-197264	17.0
The phototransduction cascade	R-HSA-2514856	 Reactome	 hsapiens	59	355	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2514856	37.0
Generation of second messenger molecules	R-HSA-202433	 Reactome	 hsapiens	59	770	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202433	33.0
E3 ubiquitin ligases ubiquitinate target proteins	R-HSA-8866654	 Reactome	 hsapiens	59	1168	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8866654	59.0
Signaling by EGFR	R-HSA-177929	 Reactome	 hsapiens	59	1178	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-177929	50.0
CDT1 association with the CDC6:ORC:origin complex	R-HSA-68827	 Reactome	 hsapiens	59	1260	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68827	59.0
Stabilization of p53	R-HSA-69541	 Reactome	 hsapiens	59	1299	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69541	57.0
Interleukin-12 family signaling	R-HSA-447115	 Reactome	 hsapiens	58	266	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-447115	57.0
Netrin-1 signaling	R-HSA-373752	 Reactome	 hsapiens	58	328	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-373752	49.0
Branched-chain amino acid catabolism	R-HSA-70895	 Reactome	 hsapiens	58	455	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70895	21.0
Translocation of SLC2A4 (GLUT4) to the plasma membrane	R-HSA-1445148	 Reactome	 hsapiens	58	485	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1445148	53.0
SUMOylation of chromatin organization proteins	R-HSA-4551638	 Reactome	 hsapiens	58	716	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4551638	71.0
Meiotic recombination	R-HSA-912446	 Reactome	 hsapiens	58	982	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-912446	86.0
Signaling by FGFR1	R-HSA-5654736	 Reactome	 hsapiens	58	1119	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654736	50.0
mRNA 3'-end processing	R-HSA-72187	 Reactome	 hsapiens	58	1913	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72187	58.0
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	R-HSA-2162123	 Reactome	 hsapiens	57	214	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2162123	15.0
The canonical retinoid cycle in rods (twilight vision)	R-HSA-2453902	 Reactome	 hsapiens	57	254	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2453902	21.0
N-glycan trimming in the ER and Calnexin/Calreticulin cycle	R-HSA-532668	 Reactome	 hsapiens	57	504	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-532668	34.0
DNA Damage Bypass	R-HSA-73893	 Reactome	 hsapiens	57	1117	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73893	48.0
Regulation of RUNX3 expression and activity	R-HSA-8941858	 Reactome	 hsapiens	57	1129	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8941858	55.0
Degradation of AXIN	R-HSA-4641257	 Reactome	 hsapiens	57	1547	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4641257	55.0
Degradation of DVL	R-HSA-4641258	 Reactome	 hsapiens	57	1593	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4641258	57.0
Non-coding RNA Metabolism	R-HSA-194441	 Reactome	 hsapiens	57	1977	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-194441	53.0
Metabolism of amine-derived hormones	R-HSA-209776	 Reactome	 hsapiens	56	277	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-209776	18.0
Glucuronidation	R-HSA-156588	 Reactome	 hsapiens	56	367	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156588	22.0
Pyruvate metabolism	R-HSA-70268	 Reactome	 hsapiens	56	525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70268	29.0
Negative regulation of NOTCH4 signaling	R-HSA-9604323	 Reactome	 hsapiens	56	1113	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9604323	54.0
Formation of TC-NER Pre-Incision Complex	R-HSA-6781823	 Reactome	 hsapiens	56	1315	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6781823	54.0
Diseases associated with glycosaminoglycan metabolism	R-HSA-3560782	 Reactome	 hsapiens	55	170	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3560782	36.0
Synthesis of PC	R-HSA-1483191	 Reactome	 hsapiens	55	206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483191	20.0
Cargo trafficking to the periciliary membrane	R-HSA-5620920	 Reactome	 hsapiens	55	731	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5620920	51.0
Retrograde transport at the Trans-Golgi-Network	R-HSA-6811440	 Reactome	 hsapiens	55	850	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811440	49.0
AUF1 (hnRNP D0) binds and destabilizes mRNA	R-HSA-450408	 Reactome	 hsapiens	55	1059	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-450408	56.0
SCF-beta-TrCP mediated degradation of Emi1	R-HSA-174113	 Reactome	 hsapiens	55	1508	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174113	55.0
Vif-mediated degradation of APOBEC3G	R-HSA-180585	 Reactome	 hsapiens	55	1512	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-180585	54.0
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	R-HSA-8854050	 Reactome	 hsapiens	55	1525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8854050	54.0
RNA Polymerase II Transcription Initiation And Promoter Clearance	R-HSA-76042	 Reactome	 hsapiens	55	2641	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-76042	47.0
Apoptotic execution phase	R-HSA-75153	 Reactome	 hsapiens	54	80	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75153	52.0
TP53 Regulates Transcription of Cell Death Genes	R-HSA-5633008	 Reactome	 hsapiens	54	97	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5633008	44.0
Inactivation, recovery and regulation of the phototransduction cascade	R-HSA-2514859	 Reactome	 hsapiens	54	250	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2514859	31.0
Regulation of Apoptosis	R-HSA-169911	 Reactome	 hsapiens	54	1227	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-169911	53.0
p53-Independent DNA Damage Response	R-HSA-69610	 Reactome	 hsapiens	54	1232	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69610	52.0
Ubiquitin-dependent degradation of Cyclin D	R-HSA-75815	 Reactome	 hsapiens	54	1233	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-75815	52.0
Autodegradation of the E3 ubiquitin ligase COP1	R-HSA-349425	 Reactome	 hsapiens	54	1234	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-349425	52.0
DAG and IP3 signaling	R-HSA-1489509	 Reactome	 hsapiens	53	321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1489509	43.0
EPH-ephrin mediated repulsion of cells	R-HSA-3928665	 Reactome	 hsapiens	53	372	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3928665	49.0
RMTs methylate histone arginines	R-HSA-3214858	 Reactome	 hsapiens	53	397	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214858	79.0
Condensation of Prophase Chromosomes	R-HSA-2299718	 Reactome	 hsapiens	53	1393	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2299718	74.0
Vpu mediated degradation of CD4	R-HSA-180534	 Reactome	 hsapiens	53	1591	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-180534	52.0
RNA Polymerase II Promoter Escape	R-HSA-73776	 Reactome	 hsapiens	53	2331	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73776	47.0
IRE1alpha activates chaperones	R-HSA-381070	 Reactome	 hsapiens	52	56	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381070	52.0
