pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""FRS-mediated FGFR3 signaling"" pathway"	R-HSA-5654706	 Reactome	 hsapiens	 25	 320	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654706
"""Downstream signaling of activated FGFR3"" pathway"	R-HSA-5654708	 Reactome	 hsapiens	 32	 523	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654708
"""PI-3K cascade:FGFR3"" pathway"	R-HSA-5654710	 Reactome	 hsapiens	 23	 196	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654710
"""FRS-mediated FGFR4 signaling"" pathway"	R-HSA-5654712	 Reactome	 hsapiens	 27	 360	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654712
"""Downstream signaling of activated FGFR4"" pathway"	R-HSA-5654716	 Reactome	 hsapiens	 34	 585	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654716
"""SHC-mediated cascade:FGFR4"" pathway"	R-HSA-5654719	 Reactome	 hsapiens	 25	 272	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654719
"""PI-3K cascade:FGFR4"" pathway"	R-HSA-5654720	 Reactome	 hsapiens	 25	 220	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654720
"""Negative regulation of FGFR1 signaling"" pathway"	R-HSA-5654726	 Reactome	 hsapiens	 37	 483	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654726
"""Negative regulation of FGFR2 signaling"" pathway"	R-HSA-5654727	 Reactome	 hsapiens	 38	 525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654727
"""Negative regulation of FGFR3 signaling"" pathway"	R-HSA-5654732	 Reactome	 hsapiens	 33	 415	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654732
"""Negative regulation of FGFR4 signaling"" pathway"	R-HSA-5654733	 Reactome	 hsapiens	 35	 459	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654733
"""Signaling by FGFR1"" pathway"	R-HSA-5654736	 Reactome	 hsapiens	 58	 1119	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654736
"""Signaling by FGFR2"" pathway"	R-HSA-5654738	 Reactome	 hsapiens	 81	 1820	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654738
"""Signaling by FGFR3"" pathway"	R-HSA-5654741	 Reactome	 hsapiens	 50	 873	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654741
"""Signaling by FGFR4"" pathway"	R-HSA-5654743	 Reactome	 hsapiens	 49	 972	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654743
"""Signaling by FGFR2 in disease"" pathway"	R-HSA-5655253	 Reactome	 hsapiens	 52	 696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655253
"""Signaling by FGFR4 in disease"" pathway"	R-HSA-5655291	 Reactome	 hsapiens	 17	 108	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655291
"""Signaling by FGFR1 in disease"" pathway"	R-HSA-5655302	 Reactome	 hsapiens	 46	 673	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655302
"""Signaling by FGFR3 in disease"" pathway"	R-HSA-5655332	 Reactome	 hsapiens	 30	 432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655332
"""Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)"" pathway"	R-HSA-5655799	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655799
"""Translesion synthesis by POLK"" pathway"	R-HSA-5655862	 Reactome	 hsapiens	 21	 241	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655862
"""Translesion synthesis by POLI"" pathway"	R-HSA-5656121	 Reactome	 hsapiens	 20	 220	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5656121
"""Termination of translesion DNA synthesis"" pathway"	R-HSA-5656169	 Reactome	 hsapiens	 35	 526	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5656169
"""HHAT G278V doesn't palmitoylate Hh-Np"" pathway"	R-HSA-5658034	 Reactome	 hsapiens	 4	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5658034
"""Regulation of RAS by GAPs"" pathway"	R-HSA-5658442	 Reactome	 hsapiens	 70	 1385	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5658442
"""FGFRL1 modulation of FGFR1 signaling"" pathway"	R-HSA-5658623	 Reactome	 hsapiens	 14	 23	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5658623
"""MTF1 activates gene expression"" pathway"	R-HSA-5660489	 Reactome	 hsapiens	 4	 5	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5660489
"""Response to metal ions"" pathway"	R-HSA-5660526	 Reactome	 hsapiens	 19	 37	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5660526
"""CLEC7A/inflammasome pathway"" pathway"	R-HSA-5660668	 Reactome	 hsapiens	 6	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5660668
"""Defective SLC7A7 causes lysinuric protein intolerance (LPI)"" pathway"	R-HSA-5660862	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5660862
"""Defective SLC7A9 causes cystinuria (CSNU)"" pathway"	R-HSA-5660883	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5660883
"""Formation of xylulose-5-phosphate"" pathway"	R-HSA-5661270	 Reactome	 hsapiens	 21	 63	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5661270
"""Melanin biosynthesis"" pathway"	R-HSA-5662702	 Reactome	 hsapiens	 28	 91	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5662702
"""Diseases of carbohydrate metabolism"" pathway"	R-HSA-5663084	 Reactome	 hsapiens	 81	 107	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663084
"""Diseases of signal transduction by growth factor receptors and second messengers"" pathway"	R-HSA-5663202	 Reactome	 hsapiens	 406	 7663	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663202
"""Infectious disease"" pathway"	R-HSA-5663205	 Reactome	 hsapiens	 1261	 45908	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663205
"""RHO GTPases Activate WASPs and WAVEs"" pathway"	R-HSA-5663213	 Reactome	 hsapiens	 41	 689	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663213
"""RHO GTPases Activate Formins"" pathway"	R-HSA-5663220	 Reactome	 hsapiens	 128	 5505	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5663220
"""RHO GTPases Activate Rhotekin and Rhophilins"" pathway"	R-HSA-5666185	 Reactome	 hsapiens	 10	 21	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5666185
"""TNFR2 non-canonical NF-kB pathway"" pathway"	R-HSA-5668541	 Reactome	 hsapiens	 103	 2678	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5668541
"""RHO GTPases Activate NADPH Oxidases"" pathway"	R-HSA-5668599	 Reactome	 hsapiens	 38	 301	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5668599
"""Diseases of metabolism"" pathway"	R-HSA-5668914	 Reactome	 hsapiens	 394	 724	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5668914
"""TNFs bind their physiological receptors"" pathway"	R-HSA-5669034	 Reactome	 hsapiens	 29	 21	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5669034
"""RAF activation"" pathway"	R-HSA-5673000	 Reactome	 hsapiens	 40	 481	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5673000
"""RAF/MAP kinase cascade"" pathway"	R-HSA-5673001	 Reactome	 hsapiens	 306	 5406	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5673001
"""MAP2K and MAPK activation"" pathway"	R-HSA-5674135	 Reactome	 hsapiens	 46	 1582	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5674135
"""Constitutive Signaling by AKT1 E17K in Cancer"" pathway"	R-HSA-5674400	 Reactome	 hsapiens	 27	 105	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5674400
"""Negative feedback regulation of MAPK pathway"" pathway"	R-HSA-5674499	 Reactome	 hsapiens	 8	 22	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5674499
"""Negative regulation of MAPK pathway"" pathway"	R-HSA-5675221	 Reactome	 hsapiens	 48	 364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5675221
"""Regulation of necroptotic cell death"" pathway"	R-HSA-5675482	 Reactome	 hsapiens	 34	 77	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5675482
"""NIK-->noncanonical NF-kB signaling"" pathway"	R-HSA-5676590	 Reactome	 hsapiens	 61	 1401	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5676590
"""TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"" pathway"	R-HSA-5676594	 Reactome	 hsapiens	 17	 77	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5676594
"""Protein repair"" pathway"	R-HSA-5676934	 Reactome	 hsapiens	 19	 42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5676934
"""Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome"" pathway"	R-HSA-5678420	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5678420
"""Defective CFTR causes cystic fibrosis"" pathway"	R-HSA-5678895	 Reactome	 hsapiens	 66	 1502	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5678895
"""Defective ABCG8 causes GBD4 and sitosterolemia"" pathway"	R-HSA-5679090	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5679090
"""Defective ABCG5 causes sitosterolemia"" pathway"	R-HSA-5679096	 Reactome	 hsapiens	 6	 9	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5679096
"""Defective ABCA1 causes TGD"" pathway"	R-HSA-5682113	 Reactome	 hsapiens	 5	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5682113
"""LGI-ADAM interactions"" pathway"	R-HSA-5682910	 Reactome	 hsapiens	 14	 32	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5682910
"""MAPK family signaling cascades"" pathway"	R-HSA-5683057	 Reactome	 hsapiens	 351	 5894	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5683057
"""Defective ABCC8 can cause hypo- and hyper-glycemias"" pathway"	R-HSA-5683177	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5683177
"""Surfactant metabolism"" pathway"	R-HSA-5683826	 Reactome	 hsapiens	 46	 201	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5683826
"""MAP3K8 (TPL2)-dependent MAPK1/3 activation"" pathway"	R-HSA-5684264	 Reactome	 hsapiens	 18	 125	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5684264
"""ERK1/ERK2 pathway"" pathway"	R-HSA-5684996	 Reactome	 hsapiens	 312	 5462	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5684996
"""HDR through Single Strand Annealing (SSA)"" pathway"	R-HSA-5685938	 Reactome	 hsapiens	 39	 627	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5685938
"""HDR through MMEJ (alt-NHEJ)"" pathway"	R-HSA-5685939	 Reactome	 hsapiens	 15	 126	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5685939
"""HDR through Homologous Recombination (HRR)"" pathway"	R-HSA-5685942	 Reactome	 hsapiens	 72	 1953	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5685942
"""Regulation of TLR by endogenous ligand"" pathway"	R-HSA-5686938	 Reactome	 hsapiens	 33	 106	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5686938
"""MAPK6/MAPK4 signaling"" pathway"	R-HSA-5687128	 Reactome	 hsapiens	 94	 1427	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5687128
"""Diseases associated with surfactant metabolism"" pathway"	R-HSA-5687613	 Reactome	 hsapiens	 10	 7	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5687613
"""Deubiquitination"" pathway"	R-HSA-5688426	 Reactome	 hsapiens	 288	 3140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5688426
"""Defective CSF2RB causes SMDP5"" pathway"	R-HSA-5688849	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5688849
"""Defective CSF2RA causes SMDP4"" pathway"	R-HSA-5688890	 Reactome	 hsapiens	 2	 1	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5688890
"""UCH proteinases"" pathway"	R-HSA-5689603	 Reactome	 hsapiens	 98	 1551	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689603
"""Josephin domain DUBs"" pathway"	R-HSA-5689877	 Reactome	 hsapiens	 13	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689877
"""Ub-specific processing proteases"" pathway"	R-HSA-5689880	 Reactome	 hsapiens	 206	 2367	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689880
"""Ovarian tumor domain proteases"" pathway"	R-HSA-5689896	 Reactome	 hsapiens	 43	 94	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689896
"""Metalloprotease DUBs"" pathway"	R-HSA-5689901	 Reactome	 hsapiens	 32	 326	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689901
"""CD22 mediated BCR regulation"" pathway"	R-HSA-5690714	 Reactome	 hsapiens	 72	 1533	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5690714
"""DNA Double-Strand Break Repair"" pathway"	R-HSA-5693532	 Reactome	 hsapiens	 163	 4712	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693532
"""Resolution of D-Loop Structures"" pathway"	R-HSA-5693537	 Reactome	 hsapiens	 37	 741	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693537
"""Homology Directed Repair"" pathway"	R-HSA-5693538	 Reactome	 hsapiens	 130	 3509	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693538
"""Sensing of DNA Double Strand Breaks"" pathway"	R-HSA-5693548	 Reactome	 hsapiens	 10	 55	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693548
"""Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)"" pathway"	R-HSA-5693554	 Reactome	 hsapiens	 30	 425	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693554
"""Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks"" pathway"	R-HSA-5693565	 Reactome	 hsapiens	 67	 1853	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693565
"""HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)"" pathway"	R-HSA-5693567	 Reactome	 hsapiens	 124	 3416	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693567
"""Resolution of D-loop Structures through Holliday Junction Intermediates"" pathway"	R-HSA-5693568	 Reactome	 hsapiens	 36	 712	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693568
"""Nonhomologous End-Joining (NHEJ)"" pathway"	R-HSA-5693571	 Reactome	 hsapiens	 57	 1030	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693571
"""Homologous DNA Pairing and Strand Exchange"" pathway"	R-HSA-5693579	 Reactome	 hsapiens	 44	 676	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693579
"""DNA Double Strand Break Response"" pathway"	R-HSA-5693606	 Reactome	 hsapiens	 70	 1879	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693606
"""Processing of DNA double-strand break ends"" pathway"	R-HSA-5693607	 Reactome	 hsapiens	 90	 1890	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693607
"""Presynaptic phase of homologous DNA pairing and strand exchange"" pathway"	R-HSA-5693616	 Reactome	 hsapiens	 41	 607	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693616
"""Cargo concentration in the ER"" pathway"	R-HSA-5694530	 Reactome	 hsapiens	 37	 255	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5694530
"""DNA Damage Recognition in GG-NER"" pathway"	R-HSA-5696394	 Reactome	 hsapiens	 40	 586	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696394
"""Formation of Incision Complex in GG-NER"" pathway"	R-HSA-5696395	 Reactome	 hsapiens	 47	 783	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696395
"""Gap-filling DNA repair synthesis and ligation in GG-NER"" pathway"	R-HSA-5696397	 Reactome	 hsapiens	 27	 325	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696397
"""Nucleotide Excision Repair"" pathway"	R-HSA-5696398	 Reactome	 hsapiens	 119	 4012	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696398
"""Global Genome Nucleotide Excision Repair (GG-NER)"" pathway"	R-HSA-5696399	 Reactome	 hsapiens	 92	 1891	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696399
"""Dual Incision in GG-NER"" pathway"	R-HSA-5696400	 Reactome	 hsapiens	 41	 756	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696400
"""Post-translational protein modification"" pathway"	R-HSA-597592	 Reactome	 hsapiens	 1584	 22797	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-597592
"""Deposition of new CENPA-containing nucleosomes at the centromere"" pathway"	R-HSA-606279	 Reactome	 hsapiens	 54	 1269	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-606279
"""Respiratory electron transport"" pathway"	R-HSA-611105	 Reactome	 hsapiens	 117	 2606	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-611105
"""Inflammasomes"" pathway"	R-HSA-622312	 Reactome	 hsapiens	 33	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-622312
"""Presynaptic nicotinic acetylcholine receptors"" pathway"	R-HSA-622323	 Reactome	 hsapiens	 15	 66	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-622323
"""Postsynaptic nicotinic acetylcholine receptors"" pathway"	R-HSA-622327	 Reactome	 hsapiens	 17	 71	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-622327
"""Highly sodium permeable postsynaptic acetylcholine nicotinic receptors"" pathway"	R-HSA-629587	 Reactome	 hsapiens	 9	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-629587
"""Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"" pathway"	R-HSA-629594	 Reactome	 hsapiens	 13	 44	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-629594
"""Highly calcium permeable nicotinic acetylcholine receptors"" pathway"	R-HSA-629597	 Reactome	 hsapiens	 11	 41	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-629597
"""RNA Polymerase II Pre-transcription Events"" pathway"	R-HSA-674695	 Reactome	 hsapiens	 88	 2782	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-674695
"""Formation of TC-NER Pre-Incision Complex"" pathway"	R-HSA-6781823	 Reactome	 hsapiens	 56	 1315	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6781823
"""Transcription-Coupled Nucleotide Excision Repair (TC-NER)"" pathway"	R-HSA-6781827	 Reactome	 hsapiens	 85	 3126	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6781827
"""Dual incision in TC-NER"" pathway"	R-HSA-6782135	 Reactome	 hsapiens	 68	 2321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6782135
"""Gap-filling DNA repair synthesis and ligation in TC-NER"" pathway"	R-HSA-6782210	 Reactome	 hsapiens	 66	 2234	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6782210
"""tRNA modification in the nucleus and cytosol"" pathway"	R-HSA-6782315	 Reactome	 hsapiens	 67	 156	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6782315
"""Synthesis of wybutosine at G37 of tRNA(Phe)"" pathway"	R-HSA-6782861	 Reactome	 hsapiens	 20	 57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6782861
"""Fanconi Anemia Pathway"" pathway"	R-HSA-6783310	 Reactome	 hsapiens	 42	 1079	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6783310
"""Interleukin-6 family signaling"" pathway"	R-HSA-6783589	 Reactome	 hsapiens	 26	 193	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6783589
"""Interleukin-10 signaling"" pathway"	R-HSA-6783783	 Reactome	 hsapiens	 47	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6783783
"""Glycine degradation"" pathway"	R-HSA-6783984	 Reactome	 hsapiens	 15	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6783984
"""tRNA processing in the nucleus"" pathway"	R-HSA-6784531	 Reactome	 hsapiens	 64	 768	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6784531
"""tRNA processing in the mitochondrion"" pathway"	R-HSA-6785470	 Reactome	 hsapiens	 8	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6785470
"""ERBB2 Regulates Cell Motility"" pathway"	R-HSA-6785631	 Reactome	 hsapiens	 16	 75	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6785631
"""Interleukin-4 and Interleukin-13 signaling"" pathway"	R-HSA-6785807	 Reactome	 hsapiens	 113	 235	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6785807
"""tRNA modification in the mitochondrion"" pathway"	R-HSA-6787450	 Reactome	 hsapiens	 11	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6787450
"""GDP-fucose biosynthesis"" pathway"	R-HSA-6787639	 Reactome	 hsapiens	 21	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6787639
"""IL-6-type cytokine receptor ligand interactions"" pathway"	R-HSA-6788467	 Reactome	 hsapiens	 17	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6788467
"""rRNA modification in the nucleus and cytosol"" pathway"	R-HSA-6790901	 Reactome	 hsapiens	 68	 1480	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6790901
"""Major pathway of rRNA processing in the nucleolus and cytosol"" pathway"	R-HSA-6791226	 Reactome	 hsapiens	 183	 7797	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6791226
"""TP53 Regulates Transcription of Cell Cycle Genes"" pathway"	R-HSA-6791312	 Reactome	 hsapiens	 51	 168	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6791312
"""rRNA modification in the mitochondrion"" pathway"	R-HSA-6793080	 Reactome	 hsapiens	 8	 14	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6793080
"""Neurexins and neuroligins"" pathway"	R-HSA-6794361	 Reactome	 hsapiens	 60	 545	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6794361
"""Protein-protein interactions at synapses"" pathway"	R-HSA-6794362	 Reactome	 hsapiens	 93	 626	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6794362
"""TP53 Regulates Transcription of DNA Repair Genes"" pathway"	R-HSA-6796648	 Reactome	 hsapiens	 67	 1666	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6796648
"""Choline catabolism"" pathway"	R-HSA-6798163	 Reactome	 hsapiens	 21	 61	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6798163
"""Complex I biogenesis"" pathway"	R-HSA-6799198	 Reactome	 hsapiens	 58	 1653	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6799198
"""Metal sequestration by antimicrobial proteins"" pathway"	R-HSA-6799990	 Reactome	 hsapiens	 13	 23	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6799990
"""Signaling by moderate kinase activity BRAF mutants"" pathway"	R-HSA-6802946	 Reactome	 hsapiens	 50	 1426	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802946
"""Signaling by high-kinase activity BRAF mutants"" pathway"	R-HSA-6802948	 Reactome	 hsapiens	 41	 783	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802948
"""Signaling by RAS mutants"" pathway"	R-HSA-6802949	 Reactome	 hsapiens	 50	 1430	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802949
"""Signaling by BRAF and RAF fusions"" pathway"	R-HSA-6802952	 Reactome	 hsapiens	 70	 2154	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802952
"""RAS signaling downstream of NF1 loss-of-function variants"" pathway"	R-HSA-6802953	 Reactome	 hsapiens	 8	 22	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802953
"""Paradoxical activation of RAF signaling by kinase inactive BRAF"" pathway"	R-HSA-6802955	 Reactome	 hsapiens	 50	 1422	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802955
"""Oncogenic MAPK signaling"" pathway"	R-HSA-6802957	 Reactome	 hsapiens	 89	 3389	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6802957
"""Antimicrobial peptides"" pathway"	R-HSA-6803157	 Reactome	 hsapiens	 112	 202	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803157
"""TP53 Regulates Transcription of Genes Involved in Cytochrome C Release"" pathway"	R-HSA-6803204	 Reactome	 hsapiens	 23	 42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803204
"""TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain"" pathway"	R-HSA-6803205	 Reactome	 hsapiens	 21	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803205
"""TP53 Regulates Transcription of Caspase Activators and Caspases"" pathway"	R-HSA-6803207	 Reactome	 hsapiens	 14	 17	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803207
"""TP53 Regulates Transcription of Death Receptors and Ligands"" pathway"	R-HSA-6803211	 Reactome	 hsapiens	 12	 17	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803211
"""FGFR2 alternative splicing"" pathway"	R-HSA-6803529	 Reactome	 hsapiens	 26	 628	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803529
"""Ion influx/efflux at host-pathogen interface"" pathway"	R-HSA-6803544	 Reactome	 hsapiens	 13	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803544
